Селезнев Елисей
Рейслер Валерий
Якимычев Демьян
Лещенко Венедикт
Веденеев Никифор
Тютчев Никита
Щербина Радислав
Рашет Платон
Мысляев Мирон
Спирьянов Виктор
Луковников Остап
Катериночкин Адриан
Нагибин Фока
Викашев Адам
Крылаев Харитон
Букирь Ипатий
Ласман Владимир
Староволков Сергей
Завражнов Яков
Коломийцев Потап
Солодский Карл
Колесников Гаврила
Херман Леонид
Нестеров Глеб
Яхин Агафон
Доронин Давид
Лапидус Соломон
Шурыгин Радион
Стегнов Антон
Будаев Макар
Дубиновский Ульян
Могутов Олег
Кузин Иларион
Пенкин Гавриил
Мананников Ким
Голованов Захар
Шаров Григорий
Таттар Всеслав
Шепкин Виссарион
Болдырев Арсений
Быков Онисим
Капустов Тимофей
Фролов Леондий
Шуляк Василий
Кулигин Кирилл
Ткачёв Наум
Ямпольский Марк
Приемский Самуил
Кирилов Саввелий
Шевцов Андрон
Беленков Богдан
Яндашевский Илья
Минкин Мартьян
Вольпов Ярослав
Грибоедов Севастьян
Щитт Елизар
Янукович Михаил
Михеев Эдуард
Тургенев Зиновий
Кондучалов Николай
Григорьев Клавдий
Огородников Мартын
Лаптев Тихон
Ярошевский Ерофей
Гавриков Самсон
Ясюлевич Ян
Горохин Модест
Апалков Кузьма
Сукачёв Петр
Устинов Феликс
Ковтунов Эмиль
Богоносцев Эрнст
Пряхин Филимон
Заседателев Артемий
Степанишин Владислав
Кожевин Матвей
Менде Денис
Лагранский Кондратий
Елисеев Андриян
Наумов Роман
Карюкин Геннадий
Яфраков Емельян
Квасов Панкратий
Чехов Артем
Ходяев Семен
Блоков Мстислав
Матеров Рубен
Суворин Прохор
Савин Лука
Кушкин Сократ
Стародубов Карп
Глоба Терентий
Гринин Онуфрий
Пьянков Серафим
Шидловский Павел
Грушецкий Аким
Кубышкин Ираклий
Карасёв Авдей
Свечников Данила
Васнев Лаврентий
